Gender_x;Type;TournamentNo;SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;@LocalDate;@LocalTime;FederationCode_y;FirstName;LastName;FirstName2;LastName2;@TeamAName;@TeamBName;NoPlayer1_team;NoPlayer2_team;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@PointsTeamASet3;@PointsTeamBSet3;@DurationSet1;@DurationSet2;@DurationSet3;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;TeamDesignation;TeamNameFull
1;51;6867;3;26;6;3;41;0;5;19;4;39;2023-08-17;16:00:00;LAT;Anastasija;Samoilova;Tina;Graudina;Tina/Anastasija;Zeimann/MacDonald;161082.0;142580.0;21.0;18.0;21.0;13.0;;;973.0;924.0;;17.9;0.3;16.6;0.3;32.4;11.0;1;A;Tina/Anastasija
1;51;6867;7;18;4;4;32;0;6;21;3;39;2023-08-17;16:00:00;NZL;Olivia;MacDonald;Alice;Zeimann;Tina/Anastasija;Zeimann/MacDonald;141983.0;141984.0;21.0;18.0;21.0;13.0;;;973.0;924.0;;17.9;0.3;16.6;0.3;32.4;11.0;0;B;Zeimann/MacDonald
1;51;6867;4;30;5;0;41;3;6;29;1;47;2023-08-17;17:00:00;CAN;Melissa;Humana-Paredes;Brandie;Wilkerson;Melissa/Brandie;Xue/X. Y. Xia;124979.0;141868.0;21.0;14.0;21.0;14.0;;;1066.0;1038.0;;17.9;0.0;14.8;0.0;29.2;14.0;1;A;Melissa/Brandie
1;51;6867;8;18;4;1;29;0;5;20;0;49;2023-08-17;17:00:00;CHN;Xinyi;Xia;Chen;Xue;Melissa/Brandie;Xue/X. Y. Xia;104438.0;141784.0;21.0;14.0;21.0;14.0;;;1066.0;1038.0;;17.9;0.0;14.8;0.0;29.2;23.0;0;B;Xue/X. Y. Xia
1;51;6867;13;14;2;0;26;1;5;14;5;43;2023-08-17;17:00:00;BRA;Agatha;Bednarczuk;Rebecca Cavalcante Barbosa;Silva;Agatha/Rebecca;Ludwig/Lippmann;104461.0;141678.0;10.0;21.0;15.0;21.0;;;860.0;1071.0;;17.9;0.0;14.8;0.0;29.2;9.0;0;A;Agatha/Rebecca
1;51;6867;6;22;4;5;41;8;12;17;0;41;2023-08-17;17:00:00;GER;Laura;Ludwig;Louisa;Lippmann;Agatha/Rebecca;Ludwig/Lippmann;115287.0;132686.0;10.0;21.0;15.0;21.0;;;860.0;1071.0;;17.9;0.0;14.8;0.0;29.2;19.0;1;B;Ludwig/Lippmann
1;51;6867;6;29;2;2;47;3;9;35;6;56;2023-08-17;18:00:00;USA;Taryn;Brasher;Kristen;Nuss;Nuss/Brasher;Hüberli/Brunner;162432.0;184611.0;11.0;21.0;21.0;16.0;15.0;12.0;831.0;1123.0;845.0;17.5;0.2;14.6;0.2;25.9;23.0;1;A;Nuss/Brasher
1;51;6867;9;32;7;8;49;1;3;25;2;71;2023-08-17;18:00:00;SUI;Nina;Brunner;Tanja;Hüberli;Nuss/Brasher;Hüberli/Brunner;132614.0;135579.0;11.0;21.0;21.0;16.0;15.0;12.0;831.0;1123.0;845.0;17.5;0.2;14.6;0.2;25.9;23.0;0;B;Hüberli/Brunner
1;51;6867;8;27;2;3;34;1;6;22;2;57;2023-08-17;19:00:00;GER;Karla;Borger;Sandra;Ittlinger;Ittlinger/Borger;Placette/Richard;147741.0;145563.0;16.0;21.0;17.0;21.0;;;1204.0;1227.0;;17.6;0.1;14.1;0.1;24.8;16.0;0;A;Ittlinger/Borger
1;51;6867;3;29;0;3;41;1;4;30;3;53;2023-08-17;19:00:00;FRA;Alexia;Richard;Lézana;Placette;Ittlinger/Borger;Placette/Richard;135670.0;119108.0;16.0;21.0;17.0;21.0;;;1204.0;1227.0;;17.6;0.1;14.1;0.1;24.8;24.0;1;B;Placette/Richard
